instance_id,event_id,name,color,duration,workload,course_ref,preassigned_time_ref
FinlandHighSchool_XHSTT2012,Event_C001_1,C001_1,,2,,gr_C001,
FinlandHighSchool_XHSTT2012,Event_C001_2,C001_2,,2,,gr_C001,
FinlandHighSchool_XHSTT2012,Event_C001_3,C001_3,,2,,gr_C001,
FinlandHighSchool_XHSTT2012,Event_C002_1,C002_1,,2,,gr_C002,
FinlandHighSchool_XHSTT2012,Event_C002_2,C002_2,,2,,gr_C002,
FinlandHighSchool_XHSTT2012,Event_C003_1,C003_1,,1,,gr_C003,
FinlandHighSchool_XHSTT2012,Event_C003_2,C003_2,,2,,gr_C003,
FinlandHighSchool_XHSTT2012,Event_C003_3,C003_3,,3,,gr_C003,
FinlandHighSchool_XHSTT2012,Event_C004_1,C004_1,,2,,gr_C004,
FinlandHighSchool_XHSTT2012,Event_C004_2,C004_2,,2,,gr_C004,
FinlandHighSchool_XHSTT2012,Event_C004_3,C004_3,,3,,gr_C004,
FinlandHighSchool_XHSTT2012,Event_C005_1,C005_1,,1,,gr_C005,
FinlandHighSchool_XHSTT2012,Event_C005_2,C005_2,,1,,gr_C005,
FinlandHighSchool_XHSTT2012,Event_C006_1,C006_1,,2,,gr_C006,
FinlandHighSchool_XHSTT2012,Event_C006_2,C006_2,,2,,gr_C006,
FinlandHighSchool_XHSTT2012,Event_C006_3,C006_3,,2,,gr_C006,
FinlandHighSchool_XHSTT2012,Event_C007_1,C007_1,,1,,gr_C007,
FinlandHighSchool_XHSTT2012,Event_C007_2,C007_2,,2,,gr_C007,
FinlandHighSchool_XHSTT2012,Event_C007_3,C007_3,,3,,gr_C007,
FinlandHighSchool_XHSTT2012,Event_C008_1,C008_1,,1,,gr_C008,
FinlandHighSchool_XHSTT2012,Event_C008_2,C008_2,,2,,gr_C008,
FinlandHighSchool_XHSTT2012,Event_C008_3,C008_3,,2,,gr_C008,
FinlandHighSchool_XHSTT2012,Event_C009_1,C009_1,,1,,gr_C009,
FinlandHighSchool_XHSTT2012,Event_C009_2,C009_2,,2,,gr_C009,
FinlandHighSchool_XHSTT2012,Event_C009_3,C009_3,,3,,gr_C009,
