instance_id,resource_id,resource_group_id
UK-SP-06,Teacher_ACL,gr_Teachers
UK-SP-06,Teacher_AME,gr_Teachers
UK-SP-06,Teacher_ARC,gr_Teachers
UK-SP-06,Teacher_ASL,gr_Teachers
UK-SP-06,Teacher_BEC,gr_Teachers
UK-SP-06,Teacher_BRO,gr_Teachers
UK-SP-06,Teacher_BWY,gr_Teachers
UK-SP-06,Teacher_CH,gr_Teachers
UK-SP-06,Teacher_CHA,gr_Teachers
UK-SP-06,Teacher_CLU,gr_Teachers
UK-SP-06,Teacher_CNO,gr_Teachers
UK-SP-06,Teacher_DBY,gr_Teachers
UK-SP-06,Teacher_DHA,gr_Teachers
UK-SP-06,Teacher_DSW,gr_Teachers
UK-SP-06,Teacher_EAS,gr_Teachers
UK-SP-06,Teacher_EM,gr_Teachers
UK-SP-06,Teacher_EWO,gr_Teachers
UK-SP-06,Teacher_FSM,gr_Teachers
UK-SP-06,Teacher_GMA,gr_Teachers
UK-SP-06,Teacher_GOU,gr_Teachers
UK-SP-06,Teacher_GRL,gr_Teachers
UK-SP-06,Teacher_GSF,gr_Teachers
UK-SP-06,Teacher_GWD,gr_Teachers
UK-SP-06,Teacher_HVA,gr_Teachers
UK-SP-06,Teacher_JCH,gr_Teachers
UK-SP-06,Teacher_JCN,gr_Teachers
UK-SP-06,Teacher_JCO,gr_Teachers
UK-SP-06,Teacher_JDU,gr_Teachers
UK-SP-06,Teacher_JGR,gr_Teachers
UK-SP-06,Teacher_JHE,gr_Teachers
UK-SP-06,Teacher_JMB,gr_Teachers
UK-SP-06,Teacher_JNO,gr_Teachers
UK-SP-06,Teacher_JRO,gr_Teachers
UK-SP-06,Teacher_JSW,gr_Teachers
UK-SP-06,Teacher_KDU,gr_Teachers
UK-SP-06,Teacher_KMJ,gr_Teachers
UK-SP-06,Teacher_KPE,gr_Teachers
UK-SP-06,Teacher_KW,gr_Teachers
UK-SP-06,Teacher_LFR,gr_Teachers
UK-SP-06,Teacher_LJE,gr_Teachers
UK-SP-06,Teacher_LST,gr_Teachers
UK-SP-06,Teacher_MBI,gr_Teachers
UK-SP-06,Teacher_MEL,gr_Teachers
UK-SP-06,Teacher_MGR,gr_Teachers
UK-SP-06,Teacher_MMK,gr_Teachers
UK-SP-06,Teacher_MOS,gr_Teachers
UK-SP-06,Teacher_MTE,gr_Teachers
UK-SP-06,Teacher_NCO,gr_Teachers
UK-SP-06,Teacher_NPA,gr_Teachers
UK-SP-06,Teacher_NPY,gr_Teachers
UK-SP-06,Teacher_NV,gr_Teachers
UK-SP-06,Teacher_PBR,gr_Teachers
UK-SP-06,Teacher_PBU,gr_Teachers
UK-SP-06,Teacher_PDO,gr_Teachers
UK-SP-06,Teacher_PEC,gr_Teachers
UK-SP-06,Teacher_PGI,gr_Teachers
UK-SP-06,Teacher_PH,gr_Teachers
UK-SP-06,Teacher_PMO,gr_Teachers
UK-SP-06,Teacher_PRI,gr_Teachers
UK-SP-06,Teacher_RBE,gr_Teachers
UK-SP-06,Teacher_RMG,gr_Teachers
UK-SP-06,Teacher_RWE,gr_Teachers
UK-SP-06,Teacher_SB,gr_Teachers
UK-SP-06,Teacher_SLO,gr_Teachers
UK-SP-06,Teacher_SWA,gr_Teachers
UK-SP-06,Teacher_TFO,gr_Teachers
UK-SP-06,Teacher_TH,gr_Teachers
UK-SP-06,Teacher_XXX,gr_Teachers
UK-SP-06,Class_10A,gr_Classes
UK-SP-06,Class_10g1,gr_Classes
UK-SP-06,Class_10g2,gr_Classes
UK-SP-06,Class_10g3,gr_Classes
UK-SP-06,Class_10h1,gr_Classes
UK-SP-06,Class_10h2,gr_Classes
UK-SP-06,Class_10h3,gr_Classes
UK-SP-06,Class_10L,gr_Classes
UK-SP-06,Class_10P,gr_Classes
UK-SP-06,Class_10S,gr_Classes
UK-SP-06,Class_10T,gr_Classes
UK-SP-06,Class_10U,gr_Classes
UK-SP-06,Class_11A,gr_Classes
UK-SP-06,Class_11g1,gr_Classes
UK-SP-06,Class_11g2,gr_Classes
UK-SP-06,Class_11h1,gr_Classes
UK-SP-06,Class_11h2,gr_Classes
UK-SP-06,Class_11L,gr_Classes
UK-SP-06,Class_11P,gr_Classes
UK-SP-06,Class_11S,gr_Classes
UK-SP-06,Class_11T,gr_Classes
UK-SP-06,Class_11U,gr_Classes
UK-SP-06,Class_12A,gr_Classes
UK-SP-06,Class_12a1,gr_Classes
UK-SP-06,Class_12a2,gr_Classes
UK-SP-06,Class_12a3,gr_Classes
UK-SP-06,Class_12a4,gr_Classes
UK-SP-06,Class_12P,gr_Classes
UK-SP-06,Class_12S,gr_Classes
UK-SP-06,Class_12T,gr_Classes
UK-SP-06,Class_13a1,gr_Classes
UK-SP-06,Class_13a2,gr_Classes
UK-SP-06,Class_13a3,gr_Classes
UK-SP-06,Class_13a4,gr_Classes
UK-SP-06,Class_13L,gr_Classes
UK-SP-06,Class_13R,gr_Classes
UK-SP-06,Class_13U,gr_Classes
UK-SP-06,Class_7A,gr_Classes
UK-SP-06,Class_7g1,gr_Classes
UK-SP-06,Class_7g2,gr_Classes
UK-SP-06,Class_7h1,gr_Classes
UK-SP-06,Class_7h2,gr_Classes
UK-SP-06,Class_7L,gr_Classes
UK-SP-06,Class_7P,gr_Classes
UK-SP-06,Class_7S,gr_Classes
UK-SP-06,Class_7T,gr_Classes
UK-SP-06,Class_7U,gr_Classes
UK-SP-06,Class_8A,gr_Classes
UK-SP-06,Class_8g1,gr_Classes
UK-SP-06,Class_8g2,gr_Classes
UK-SP-06,Class_8h1,gr_Classes
UK-SP-06,Class_8h2,gr_Classes
UK-SP-06,Class_8L,gr_Classes
UK-SP-06,Class_8P,gr_Classes
UK-SP-06,Class_8S,gr_Classes
UK-SP-06,Class_8T,gr_Classes
UK-SP-06,Class_8U,gr_Classes
UK-SP-06,Class_9A,gr_Classes
UK-SP-06,Class_9g1,gr_Classes
UK-SP-06,Class_9g2,gr_Classes
UK-SP-06,Class_9h1,gr_Classes
UK-SP-06,Class_9h2,gr_Classes
UK-SP-06,Class_9L,gr_Classes
UK-SP-06,Class_9P,gr_Classes
UK-SP-06,Class_9S,gr_Classes
UK-SP-06,Class_9T,gr_Classes
UK-SP-06,Class_9U,gr_Classes
UK-SP-06,Room_4,gr_Rooms
UK-SP-06,Room_5,gr_Rooms
UK-SP-06,Room_6,gr_Rooms
UK-SP-06,Room_7,gr_Rooms
UK-SP-06,Room_8,gr_Rooms
UK-SP-06,Room_9,gr_Rooms
UK-SP-06,Room_10,gr_Rooms
UK-SP-06,Room_11,gr_Rooms
UK-SP-06,Room_12,gr_Rooms
UK-SP-06,Room_13,gr_Rooms
UK-SP-06,Room_14,gr_Rooms
UK-SP-06,Room_15,gr_Rooms
UK-SP-06,Room_16,gr_Rooms
UK-SP-06,Room_17,gr_Rooms
UK-SP-06,Room_SPH,gr_Rooms
UK-SP-06,Room_10A,gr_Rooms
UK-SP-06,Room_23,gr_Rooms
UK-SP-06,Room_24,gr_Rooms
UK-SP-06,Room_25,gr_Rooms
UK-SP-06,Room_26,gr_Rooms
UK-SP-06,Room_27,gr_Rooms
UK-SP-06,Room_28,gr_Rooms
UK-SP-06,Room_30,gr_Rooms
UK-SP-06,Room_31,gr_Rooms
UK-SP-06,Room_LIB,gr_Rooms
UK-SP-06,Room_33,gr_Rooms
UK-SP-06,Room_34,gr_Rooms
UK-SP-06,Room_35,gr_Rooms
UK-SP-06,Room_36,gr_Rooms
UK-SP-06,Room_37,gr_Rooms
UK-SP-06,Room_38,gr_Rooms
UK-SP-06,Room_39,gr_Rooms
UK-SP-06,Room_40,gr_Rooms
UK-SP-06,Room_41,gr_Rooms
UK-SP-06,Room_42,gr_Rooms
UK-SP-06,Room_45,gr_Rooms
