instance_id,event_id,name,color,duration,workload,course_ref,preassigned_time_ref
UK-SP-06,Ar (10S)_29900,Ar (10S),,1,,gr_Course_Ar-10S_299,
UK-SP-06,Ar (10S)_29901,Ar (10S),,1,,gr_Course_Ar-10S_299,
UK-SP-06,Ar (10S)_29902,Ar (10S),,1,,gr_Course_Ar-10S_299,
UK-SP-06,Dr (10T)_30000,Dr (10T),,1,,gr_Course_Dr-10T_300,
UK-SP-06,Dr (10T)_30001,Dr (10T),,1,,gr_Course_Dr-10T_300,
UK-SP-06,Dr (10T)_30002,Dr (10T),,1,,gr_Course_Dr-10T_300,
UK-SP-06,Ge (10L)_30100,Ge (10L),,1,,gr_Course_Ge-10L_301,
UK-SP-06,Ge (10L)_30101,Ge (10L),,1,,gr_Course_Ge-10L_301,
UK-SP-06,Ge (10L)_30102,Ge (10L),,1,,gr_Course_Ge-10L_301,
UK-SP-06,Fr (10A)_30200,Fr (10A),,1,,gr_Course_Fr-10A_302,
UK-SP-06,Fr (10A)_30201,Fr (10A),,1,,gr_Course_Fr-10A_302,
UK-SP-06,Fr (10A)_30202,Fr (10A),,1,,gr_Course_Fr-10A_302,
UK-SP-06,Mu (10U)_30300,Mu (10U),,1,,gr_Course_Mu-10U_303,
UK-SP-06,Mu (10U)_30301,Mu (10U),,1,,gr_Course_Mu-10U_303,
UK-SP-06,Mu (10U)_30302,Mu (10U),,1,,gr_Course_Mu-10U_303,
UK-SP-06,Da (10L)_30400,Da (10L),,1,,gr_Course_Da-10L_304,
UK-SP-06,Da (10L)_30401,Da (10L),,1,,gr_Course_Da-10L_304,
UK-SP-06,Da (10L)_30402,Da (10L),,1,,gr_Course_Da-10L_304,
UK-SP-06,Sk (10g1)_30500,Sk (10g1),,1,,gr_Course_Sk-10g1_305,
UK-SP-06,Sk (10g1)_30501,Sk (10g1),,1,,gr_Course_Sk-10g1_305,
UK-SP-06,Sk (10g1)_30502,Sk (10g1),,1,,gr_Course_Sk-10g1_305,
UK-SP-06,Ge (10g2)_30600,Ge (10g2),,1,,gr_Course_Ge-10g2_306,
UK-SP-06,Ge (10g2)_30601,Ge (10g2),,1,,gr_Course_Ge-10g2_306,
UK-SP-06,Ge (10g2)_30602,Ge (10g2),,1,,gr_Course_Ge-10g2_306,
