instance_id,constraint_id,constraint_type,name,required,weight,cost_function
US-WS-09,AssignRooms,AssignResourceConstraint,AssignRooms,TRUE,1,Linear
US-WS-09,AssignTime,AssignTimeConstraint,AssignTime,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_2_1,SplitEventsConstraint,SplitEventsConstraint_2_1,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_2_2,SplitEventsConstraint,SplitEventsConstraint_2_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_2_3,SplitEventsConstraint,SplitEventsConstraint_2_3,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_2_4,SplitEventsConstraint,SplitEventsConstraint_2_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_3_2,SplitEventsConstraint,SplitEventsConstraint_3_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_3_4,SplitEventsConstraint,SplitEventsConstraint_3_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_4_2,SplitEventsConstraint,SplitEventsConstraint_4_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_4_4,SplitEventsConstraint,SplitEventsConstraint_4_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_5_2,SplitEventsConstraint,SplitEventsConstraint_5_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_5_4,SplitEventsConstraint,SplitEventsConstraint_5_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_6_2,SplitEventsConstraint,SplitEventsConstraint_6_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_6_4,SplitEventsConstraint,SplitEventsConstraint_6_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_8_2,SplitEventsConstraint,SplitEventsConstraint_8_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_8_4,SplitEventsConstraint,SplitEventsConstraint_8_4,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_9_2,SplitEventsConstraint,SplitEventsConstraint_9_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_10_2,SplitEventsConstraint,SplitEventsConstraint_10_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_11_2,SplitEventsConstraint,SplitEventsConstraint_11_2,TRUE,1,Linear
US-WS-09,SplitEventsConstraint_12_2,SplitEventsConstraint,SplitEventsConstraint_12_2,TRUE,1,Linear
