instance_id,time_id,group_id,membership_type
US-WS-09,Mon1,Day_0,Day
US-WS-09,Mon1,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon1,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon1,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon2,Day_0,Day
US-WS-09,Mon2,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon2,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon2,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon3,Day_0,Day
US-WS-09,Mon3,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon3,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon3,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon4,Day_0,Day
US-WS-09,Mon4,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon4,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon4,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon5,Day_0,Day
US-WS-09,Mon5,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon5,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon5,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon6,Day_0,Day
US-WS-09,Mon6,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon6,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon6,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon7,Day_0,Day
US-WS-09,Mon7,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon7,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon7,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon8,Day_0,Day
US-WS-09,Mon8,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon8,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon8,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon9,Day_0,Day
US-WS-09,Mon9,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon9,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon9,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon10,Day_0,Day
US-WS-09,Mon10,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon10,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon10,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon11,Day_0,Day
US-WS-09,Mon11,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon11,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon11,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon12,Day_0,Day
US-WS-09,Mon12,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon12,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon12,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon13,Day_0,Day
US-WS-09,Mon13,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon13,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon13,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon14,Day_0,Day
US-WS-09,Mon14,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon14,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon14,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon15,Day_0,Day
US-WS-09,Mon15,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon15,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon15,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon16,Day_0,Day
US-WS-09,Mon16,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon16,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon16,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon17,Day_0,Day
US-WS-09,Mon17,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon17,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon17,gr_TimesDurationFour,TimeGroup
US-WS-09,Mon18,Day_0,Day
US-WS-09,Mon18,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon18,gr_TimesDurationThree,TimeGroup
US-WS-09,Mon19,Day_0,Day
US-WS-09,Mon19,gr_TimesDurationTwo,TimeGroup
US-WS-09,Mon20,Day_0,Day
US-WS-09,Tue1,Day_1,Day
US-WS-09,Tue1,gr_TimesDurationTwo,TimeGroup
US-WS-09,Tue1,gr_TimesDurationThree,TimeGroup
US-WS-09,Tue1,gr_TimesDurationFour,TimeGroup
US-WS-09,Tue2,Day_1,Day
US-WS-09,Tue2,gr_TimesDurationTwo,TimeGroup
US-WS-09,Tue2,gr_TimesDurationThree,TimeGroup
US-WS-09,Tue2,gr_TimesDurationFour,TimeGroup
US-WS-09,Tue3,Day_1,Day
US-WS-09,Tue3,gr_TimesDurationTwo,TimeGroup
US-WS-09,Tue3,gr_TimesDurationThree,TimeGroup
US-WS-09,Tue3,gr_TimesDurationFour,TimeGroup
US-WS-09,Tue4,Day_1,Day
US-WS-09,Tue4,gr_TimesDurationTwo,TimeGroup
US-WS-09,Tue4,gr_TimesDurationThree,TimeGroup
US-WS-09,Tue4,gr_TimesDurationFour,TimeGroup
US-WS-09,Tue5,Day_1,Day
