instance_id,constraint_id,path,ref_type,reference
US-WS-09,AssignRooms,AppliesTo/EventGroups/EventGroup,EventGroup,Event_All
US-WS-09,AssignTime,AppliesTo/EventGroups/EventGroup,EventGroup,Event_All
US-WS-09,SplitEventsConstraint_2_1,AppliesTo/Events/Event,Event,WorldHistory(H)Sem2_0_1
US-WS-09,SplitEventsConstraint_2_1,AppliesTo/Events/Event,Event,WorldHistory(H)Sem2_1_1
US-WS-09,SplitEventsConstraint_2_1,AppliesTo/Events/Event,Event,WorldHistory(H)Sem2_2_1
US-WS-09,SplitEventsConstraint_2_1,AppliesTo/Events/Event,Event,WorldHistory(H)Sem2_3_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Orchestra-Freshman_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Orchestra-Chamber_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,WebDesign_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_1_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_2_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_3_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_4_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_5_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,English9_6_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,ReadingWorkshop2_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2Basic_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2_1_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2_2_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2_3_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Literature2_4_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CreativeWriting_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CompositionAP_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CompositionAP_1_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CompositionAP_2_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CompositionAP_3_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,CompositionAP_5_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,French1_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Spanish1_1_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Foods1_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Foods2_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,HumanBehavior2_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,IntrotoFashion_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Fashion1_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,ComputerAidedDesign_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,WeldingProcesses_1_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,WeldingProcesses_1_3
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Welding-Oxy-acetylene_0_3
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,Welding-Oxy-acetylene_1_3
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,PE-HealthyLiving_0_1
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,PE-HealthyLiving_0_2
US-WS-09,SplitEventsConstraint_2_2,AppliesTo/Events/Event,Event,PE-HealthyLiving_1_1
