instance_id,event_group_id,group_type,name
US-WS-09,Event_All,EventGroup,Event_All
US-WS-09,ArtFoundations_0_1,EventGroup,ArtFoundations_0_1
US-WS-09,ArtFoundations_1_1,EventGroup,ArtFoundations_1_1
US-WS-09,DrawingPainting1_0_1,EventGroup,DrawingPainting1_0_1
US-WS-09,DrawingPainting2_0_1,EventGroup,DrawingPainting2_0_1
US-WS-09,GraphicDesign_0_1,EventGroup,GraphicDesign_0_1
US-WS-09,Photography2_0_1,EventGroup,Photography2_0_1
US-WS-09,Choir-Freshman_0_1,EventGroup,Choir-Freshman_0_1
US-WS-09,Choir-Warrior_0_1,EventGroup,Choir-Warrior_0_1
US-WS-09,Choir-WomensShow_0_1,EventGroup,Choir-WomensShow_0_1
US-WS-09,Choir-WarriorExpressShow_0_1,EventGroup,Choir-WarriorExpressShow_0_1
US-WS-09,Choir-VarsityShow_0_1,EventGroup,Choir-VarsityShow_0_1
US-WS-09,Choir-Concert_0_1,EventGroup,Choir-Concert_0_1
US-WS-09,Band-Grade9_0_1,EventGroup,Band-Grade9_0_1
US-WS-09,SymphonicBand_0_1,EventGroup,SymphonicBand_0_1
US-WS-09,Band-ConcertJazz_0_1,EventGroup,Band-ConcertJazz_0_1
US-WS-09,Orchestra-Freshman_0_1,EventGroup,Orchestra-Freshman_0_1
US-WS-09,Orchestra_0_1,EventGroup,Orchestra_0_1
US-WS-09,Orchestra-Chamber_0_1,EventGroup,Orchestra-Chamber_0_1
US-WS-09,MusicTheory_0_1,EventGroup,MusicTheory_0_1
US-WS-09,PersonalFinance_0_2,EventGroup,PersonalFinance_0_2
US-WS-09,PersonalFinance_1_2,EventGroup,PersonalFinance_1_2
US-WS-09,BusinessPrinciples_0_1,EventGroup,BusinessPrinciples_0_1
US-WS-09,BusinessLaw_0_1,EventGroup,BusinessLaw_0_1
US-WS-09,Investments_0_2,EventGroup,Investments_0_2
US-WS-09,Marketing1_0_2,EventGroup,Marketing1_0_2
US-WS-09,Marketing1_1_2,EventGroup,Marketing1_1_2
US-WS-09,Marketing1_2_2,EventGroup,Marketing1_2_2
US-WS-09,Marketing2_0_2,EventGroup,Marketing2_0_2
US-WS-09,Marketing2_1_2,EventGroup,Marketing2_1_2
US-WS-09,InformationTechnology1_0_1,EventGroup,InformationTechnology1_0_1
US-WS-09,InformationTechnology1_1_1,EventGroup,InformationTechnology1_1_1
US-WS-09,InformationTechnology1_2_1,EventGroup,InformationTechnology1_2_1
US-WS-09,InformationTechnology1_3_1,EventGroup,InformationTechnology1_3_1
