instance_id,event_id,name,color,duration,workload,course_ref,preassigned_time_ref
FinlandCollege_XHSTT2012,Event_C001_1,C001_1,,2,,gr_C001,
FinlandCollege_XHSTT2012,Event_C002_1,C002_1,,3,,gr_C002,
FinlandCollege_XHSTT2012,Event_C003_1,C003_1,,2,,gr_C003,
FinlandCollege_XHSTT2012,Event_C004_1,C004_1,,1,,gr_C004,
FinlandCollege_XHSTT2012,Event_C005_1,C005_1,,2,,gr_C005,
FinlandCollege_XHSTT2012,Event_C006_1,C006_1,,2,,gr_C006,
FinlandCollege_XHSTT2012,Event_C007_1,C007_1,,2,,gr_C007,
FinlandCollege_XHSTT2012,Event_C008_1,C008_1,,2,,gr_C008,
FinlandCollege_XHSTT2012,Event_C009_1,C009_1,,3,,gr_C009,
FinlandCollege_XHSTT2012,Event_C010_1,C010_1,,3,,gr_C010,
FinlandCollege_XHSTT2012,Event_C011_1,C011_1,,2,,gr_C011,
FinlandCollege_XHSTT2012,Event_C012_1,C012_1,,3,,gr_C012,
FinlandCollege_XHSTT2012,Event_C013_1,C013_1,,3,,gr_C013,
FinlandCollege_XHSTT2012,Event_C014_1,C014_1,,1,,gr_C014,
FinlandCollege_XHSTT2012,Event_C015_1,C015_1,,2,,gr_C015,
FinlandCollege_XHSTT2012,Event_C016_1,C016_1,,2,,gr_C016,
FinlandCollege_XHSTT2012,Event_C017_1,C017_1,,3,,gr_C017,
FinlandCollege_XHSTT2012,Event_C018_1,C018_1,,2,,gr_C018,
FinlandCollege_XHSTT2012,Event_C019_1,C019_1,,3,,gr_C019,
FinlandCollege_XHSTT2012,Event_C020_1,C020_1,,2,,gr_C020,
FinlandCollege_XHSTT2012,Event_C021_1,C021_1,,1,,gr_C021,
FinlandCollege_XHSTT2012,Event_C022_1,C022_1,,2,,gr_C022,
FinlandCollege_XHSTT2012,Event_C023_1,C023_1,,2,,gr_C023,
FinlandCollege_XHSTT2012,Event_C024_1,C024_1,,2,,gr_C024,
FinlandCollege_XHSTT2012,Event_C025_1,C025_1,,2,,gr_C025,
FinlandCollege_XHSTT2012,Event_C026_1,C026_1,,3,,gr_C026,
FinlandCollege_XHSTT2012,Event_C027_1,C027_1,,3,,gr_C027,
FinlandCollege_XHSTT2012,Event_C028_1,C028_1,,2,,gr_C028,
FinlandCollege_XHSTT2012,Event_C029_1,C029_1,,3,,gr_C029,
FinlandCollege_XHSTT2012,Event_C030_1,C030_1,,3,,gr_C030,
FinlandCollege_XHSTT2012,Event_C031_1,C031_1,,1,,gr_C031,
FinlandCollege_XHSTT2012,Event_C032_1,C032_1,,2,,gr_C032,
FinlandCollege_XHSTT2012,Event_C033_1,C033_1,,2,,gr_C033,
FinlandCollege_XHSTT2012,Event_C034_1,C034_1,,2,,gr_C034,
FinlandCollege_XHSTT2012,Event_C035_1,C035_1,,3,,gr_C035,
FinlandCollege_XHSTT2012,Event_C036_1,C036_1,,2,,gr_C036,
FinlandCollege_XHSTT2012,Event_C037_1,C037_1,,3,,gr_C037,
FinlandCollege_XHSTT2012,Event_C038_1,C038_1,,2,,gr_C038,
FinlandCollege_XHSTT2012,Event_C039_1,C039_1,,1,,gr_C039,
FinlandCollege_XHSTT2012,Event_C040_1,C040_1,,2,,gr_C040,
FinlandCollege_XHSTT2012,Event_C041_1,C041_1,,2,,gr_C041,
FinlandCollege_XHSTT2012,Event_C042_1,C042_1,,3,,gr_C042,
FinlandCollege_XHSTT2012,Event_C043_1,C043_1,,3,,gr_C043,
FinlandCollege_XHSTT2012,Event_C044_1,C044_1,,3,,gr_C044,
