instance_id,event_id,name,color,duration,workload,course_ref,preassigned_time_ref
DK-FG-12,E0,E0,,1,,,
DK-FG-12,E1,E1,,1,,,
DK-FG-12,E2,E2,,1,,,
DK-FG-12,E3,E3,,1,,,
DK-FG-12,E4,E4,,1,,,
DK-FG-12,E5,E5,,1,,,
DK-FG-12,E6,E6,,1,,,T22
DK-FG-12,E7,E7,,1,,,T13
DK-FG-12,E8,E8,,1,,,T25
DK-FG-12,E9,E9,,1,,,T0
DK-FG-12,E10,E10,,1,,,T47
DK-FG-12,E11,E11,,1,,,
DK-FG-12,E12,E12,,1,,,
DK-FG-12,E13,E13,,1,,,
DK-FG-12,E14,E14,,1,,,
DK-FG-12,E15,E15,,1,,,
DK-FG-12,E16,E16,,1,,,
DK-FG-12,E17,E17,,1,,,
DK-FG-12,E18,E18,,1,,,
DK-FG-12,E19,E19,,1,,,
DK-FG-12,E20,E20,,1,,,
DK-FG-12,E21,E21,,1,,,
DK-FG-12,E22,E22,,1,,,
DK-FG-12,E23,E23,,1,,,
DK-FG-12,E24,E24,,1,,,
DK-FG-12,E25,E25,,1,,,
DK-FG-12,E26,E26,,1,,,
DK-FG-12,E27,E27,,1,,,T10
DK-FG-12,E28,E28,,1,,,T28
DK-FG-12,E29,E29,,1,,,T3
DK-FG-12,E30,E30,,1,,,T35
DK-FG-12,E31,E31,,1,,,T18
DK-FG-12,E32,E32,,1,,,
DK-FG-12,E33,E33,,1,,,
DK-FG-12,E34,E34,,1,,,
DK-FG-12,E35,E35,,1,,,
DK-FG-12,E36,E36,,1,,,
DK-FG-12,E37,E37,,1,,,
DK-FG-12,E38,E38,,1,,,
DK-FG-12,E39,E39,,1,,,
DK-FG-12,E40,E40,,1,,,T8
DK-FG-12,E41,E41,,1,,,T38
DK-FG-12,E42,E42,,1,,,T20
DK-FG-12,E43,E43,,1,,,T45
DK-FG-12,E44,E44,,1,,,T33
DK-FG-12,E45,E45,,1,,,
DK-FG-12,E46,E46,,1,,,
DK-FG-12,E47,E47,,1,,,
DK-FG-12,E48,E48,,1,,,
DK-FG-12,E49,E49,,1,,,
DK-FG-12,E50,E50,,1,,,
DK-FG-12,E51,E51,,1,,,
DK-FG-12,E52,E52,,1,,,
DK-FG-12,E53,E53,,1,,,
DK-FG-12,E54,E54,,1,,,
DK-FG-12,E55,E55,,1,,,
DK-FG-12,E56,E56,,1,,,
DK-FG-12,E57,E57,,1,,,
DK-FG-12,E58,E58,,1,,,
DK-FG-12,E59,E59,,1,,,
DK-FG-12,E60,E60,,1,,,
DK-FG-12,E61,E61,,1,,,
DK-FG-12,E62,E62,,1,,,
DK-FG-12,E63,E63,,1,,,
DK-FG-12,E64,E64,,1,,,
DK-FG-12,E65,E65,,1,,,
DK-FG-12,E66,E66,,1,,,
DK-FG-12,E67,E67,,1,,,
DK-FG-12,E68,E68,,1,,,
DK-FG-12,E69,E69,,1,,,
DK-FG-12,E70,E70,,1,,,
DK-FG-12,E71,E71,,1,,,
DK-FG-12,E72,E72,,1,,,
DK-FG-12,E73,E73,,1,,,
DK-FG-12,E74,E74,,1,,,
DK-FG-12,E75,E75,,1,,,
DK-FG-12,E76,E76,,1,,,
DK-FG-12,E77,E77,,1,,,
DK-FG-12,E78,E78,,1,,,
DK-FG-12,E79,E79,,1,,,
DK-FG-12,E80,E80,,1,,,
DK-FG-12,E81,E81,,1,,,
DK-FG-12,E82,E82,,1,,,
DK-FG-12,E83,E83,,1,,,
DK-FG-12,E84,E84,,1,,,
DK-FG-12,E85,E85,,1,,,
DK-FG-12,E86,E86,,1,,,T16
DK-FG-12,E87,E87,,1,,,T41
DK-FG-12,E108,E108,,1,,,
DK-FG-12,E109,E109,,1,,,
DK-FG-12,E110,E110,,1,,,
DK-FG-12,E111,E111,,1,,,
