instance_id,event_id,er_index,role,resource_type_ref,reference_resource_id,workload
DK-FG-12,E111,3,Student,,Student100,
DK-FG-12,E112,3,Student,,Student100,
DK-FG-12,E113,3,Student,,Student100,
DK-FG-12,E143,3,Student,,Student100,
DK-FG-12,E144,3,Student,,Student100,
DK-FG-12,E145,3,Student,,Student100,
DK-FG-12,E146,3,Student,,Student100,
DK-FG-12,E147,3,Student,,Student100,
DK-FG-12,E148,3,Student,,Student100,
DK-FG-12,E149,3,Student,,Student100,
DK-FG-12,E150,3,Student,,Student100,
DK-FG-12,E151,3,Student,,Student100,
DK-FG-12,E152,3,Student,,Student100,
DK-FG-12,E153,3,Student,,Student100,
DK-FG-12,E154,3,Student,,Student100,
DK-FG-12,E155,3,Student,,Student100,
DK-FG-12,E156,3,Student,,Student100,
DK-FG-12,E157,3,Student,,Student100,
DK-FG-12,E158,3,Student,,Student100,
DK-FG-12,E159,3,Student,,Student100,
DK-FG-12,E160,3,Student,,Student100,
DK-FG-12,E161,3,Student,,Student100,
DK-FG-12,E162,4,Student,,Student100,
DK-FG-12,E163,4,Student,,Student100,
DK-FG-12,E164,4,Student,,Student100,
DK-FG-12,E165,4,Student,,Student100,
DK-FG-12,E166,4,Student,,Student100,
DK-FG-12,E167,5,Student,,Student100,
DK-FG-12,E168,5,Student,,Student100,
DK-FG-12,E108,4,Student,,Student101,
DK-FG-12,E109,4,Student,,Student101,
DK-FG-12,E110,4,Student,,Student101,
DK-FG-12,E143,4,Student,,Student101,
DK-FG-12,E144,4,Student,,Student101,
DK-FG-12,E145,4,Student,,Student101,
DK-FG-12,E146,4,Student,,Student101,
DK-FG-12,E147,4,Student,,Student101,
DK-FG-12,E148,4,Student,,Student101,
DK-FG-12,E149,4,Student,,Student101,
DK-FG-12,E150,4,Student,,Student101,
DK-FG-12,E151,4,Student,,Student101,
DK-FG-12,E152,4,Student,,Student101,
DK-FG-12,E153,4,Student,,Student101,
DK-FG-12,E154,4,Student,,Student101,
DK-FG-12,E155,4,Student,,Student101,
DK-FG-12,E156,4,Student,,Student101,
DK-FG-12,E157,4,Student,,Student101,
DK-FG-12,E158,4,Student,,Student101,
DK-FG-12,E159,4,Student,,Student101,
DK-FG-12,E160,4,Student,,Student101,
DK-FG-12,E161,4,Student,,Student101,
DK-FG-12,E162,5,Student,,Student101,
DK-FG-12,E163,5,Student,,Student101,
DK-FG-12,E164,5,Student,,Student101,
DK-FG-12,E165,5,Student,,Student101,
DK-FG-12,E166,5,Student,,Student101,
DK-FG-12,E167,6,Student,,Student101,
DK-FG-12,E168,6,Student,,Student101,
