instance_id,time_id,name,order_index,week_ref,day_ref
FinlandSecondarySchool2_XHSTT-v2014,Mo_1,Mo_1,0,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_2,Mo_2,1,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_3,Mo_3,2,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_4,Mo_4,3,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_5,Mo_5,4,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_6,Mo_6,5,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_7,Mo_7,6,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Mo_8,Mo_8,7,,gr_Mo
FinlandSecondarySchool2_XHSTT-v2014,Tu_1,Tu_1,8,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_2,Tu_2,9,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_3,Tu_3,10,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_4,Tu_4,11,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_5,Tu_5,12,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_6,Tu_6,13,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_7,Tu_7,14,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,Tu_8,Tu_8,15,,gr_Tu
FinlandSecondarySchool2_XHSTT-v2014,We_1,We_1,16,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_2,We_2,17,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_3,We_3,18,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_4,We_4,19,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_5,We_5,20,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_6,We_6,21,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_7,We_7,22,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,We_8,We_8,23,,gr_We
FinlandSecondarySchool2_XHSTT-v2014,Th_1,Th_1,24,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_2,Th_2,25,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_3,Th_3,26,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_4,Th_4,27,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_5,Th_5,28,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_6,Th_6,29,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_7,Th_7,30,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Th_8,Th_8,31,,gr_Th
FinlandSecondarySchool2_XHSTT-v2014,Fr_1,Fr_1,32,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_2,Fr_2,33,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_3,Fr_3,34,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_4,Fr_4,35,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_5,Fr_5,36,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_6,Fr_6,37,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_7,Fr_7,38,,gr_Fr
FinlandSecondarySchool2_XHSTT-v2014,Fr_8,Fr_8,39,,gr_Fr
